timestamp,polymarket_bid,polymarket_ask,chainlink_price,binance_price,binance_cvd
1700000000,0.45,0.47,25000,24995,1000
1700000060,0.452,0.472,25002,24999,995
1700000120,0.454,0.474,25004,25003,990
1700000180,0.456,0.476,25006,25007,985
1700000240,0.458,0.478,25008,25011,980
1700000300,0.46,0.48,25010,25005,975
1700000360,0.462,0.482,25012,25009,970
1700000420,0.464,0.484,25014,25013,1070
1700000480,0.466,0.486,25016,25017,1065
1700000540,0.468,0.488,25018,25021,1060
1700000600,0.45,0.47,25020,25015,1055
1700000660,0.452,0.472,25022,25019,1050
1700000720,0.454,0.474,25024,25023,1045
1700000780,0.456,0.476,25026,25027,1040
1700000840,0.458,0.478,25028,25031,1140
1700000900,0.46,0.48,25030,25025,1135
1700000960,0.462,0.482,25032,25029,1130
1700001020,0.464,0.484,25034,25033,1125
1700001080,0.466,0.486,25036,25037,1120
1700001140,0.468,0.488,25038,25041,1115
1700001200,0.45,0.47,25040,25035,1110
1700001260,0.452,0.472,25042,25039,1210
1700001320,0.454,0.474,25044,25043,1205
1700001380,0.456,0.476,25046,25047,1200
1700001440,0.458,0.478,25048,25051,1195
1700001500,0.46,0.48,25050,25045,1190
1700001560,0.462,0.482,25052,25049,1185
1700001620,0.464,0.484,25054,25053,1180
1700001680,0.466,0.486,25056,25057,1280
1700001740,0.468,0.488,25058,25061,1275
1700001800,0.45,0.47,25060,25055,1270
1700001860,0.452,0.472,25062,25059,1265
1700001920,0.454,0.474,25064,25063,1260
1700001980,0.456,0.476,25066,25067,1255
1700002040,0.458,0.478,25068,25071,1250
1700002100,0.46,0.48,25070,25065,1350
1700002160,0.462,0.482,25072,25069,1345
1700002220,0.464,0.484,25074,25073,1340
1700002280,0.466,0.486,25076,25077,1335
1700002340,0.468,0.488,25078,25081,1330
1700002400,0.45,0.47,25080,25075,1325
1700002460,0.452,0.472,25082,25079,1320
1700002520,0.454,0.474,25084,25083,1420
1700002580,0.456,0.476,25086,25087,1415
1700002640,0.458,0.478,25088,25091,1410
1700002700,0.46,0.48,25090,25085,1405
1700002760,0.462,0.482,25092,25089,1400
1700002820,0.464,0.484,25094,25093,1395
1700002880,0.466,0.486,25096,25097,1390
1700002940,0.468,0.488,25098,25101,1490
1700003000,0.45,0.47,25100,25095,1485
1700003060,0.452,0.472,25102,25099,1480
1700003120,0.454,0.474,25104,25103,1475
1700003180,0.456,0.476,25106,25107,1470
1700003240,0.458,0.478,25108,25111,1465
1700003300,0.46,0.48,25110,25105,1460
1700003360,0.462,0.482,25112,25109,1560
1700003420,0.464,0.484,25114,25113,1555
1700003480,0.466,0.486,25116,25117,1550
1700003540,0.468,0.488,25118,25121,1545
1700003600,0.45,0.47,25120,25115,1540
1700003660,0.452,0.472,25122,25119,1535
1700003720,0.454,0.474,25124,25123,1530
1700003780,0.456,0.476,25126,25127,1630
1700003840,0.458,0.478,25128,25131,1625
1700003900,0.46,0.48,25130,25125,1620
1700003960,0.462,0.482,25132,25129,1615
1700004020,0.464,0.484,25134,25133,1610
1700004080,0.466,0.486,25136,25137,1605
1700004140,0.468,0.488,25138,25141,1600
1700004200,0.45,0.47,25140,25135,1700
1700004260,0.452,0.472,25142,25139,1695
1700004320,0.454,0.474,25144,25143,1690
1700004380,0.456,0.476,25146,25147,1685
1700004440,0.458,0.478,25148,25151,1680
1700004500,0.46,0.48,25150,25145,1675
1700004560,0.462,0.482,25152,25149,1670
1700004620,0.464,0.484,25154,25153,1770
1700004680,0.466,0.486,25156,25157,1765
1700004740,0.468,0.488,25158,25161,1760
1700004800,0.45,0.47,25160,25155,1755
1700004860,0.452,0.472,25162,25159,1750
1700004920,0.454,0.474,25164,25163,1745
1700004980,0.456,0.476,25166,25167,1740
1700005040,0.458,0.478,25168,25171,1840
1700005100,0.46,0.48,25170,25165,1835
1700005160,0.462,0.482,25172,25169,1830
1700005220,0.464,0.484,25174,25173,1825
1700005280,0.466,0.486,25176,25177,1820
1700005340,0.468,0.488,25178,25181,1815
1700005400,0.45,0.47,25180,25175,1810
1700005460,0.452,0.472,25182,25179,1910
1700005520,0.454,0.474,25184,25183,1905
1700005580,0.456,0.476,25186,25187,1900
1700005640,0.458,0.478,25188,25191,1895
1700005700,0.46,0.48,25190,25185,1890
1700005760,0.462,0.482,25192,25189,1885
1700005820,0.464,0.484,25194,25193,1880
1700005880,0.466,0.486,25196,25197,1980
1700005940,0.468,0.488,25198,25201,1975
1700006000,0.45,0.47,25200,25195,1970
1700006060,0.452,0.472,25202,25199,1965
1700006120,0.454,0.474,25204,25203,1960
1700006180,0.456,0.476,25206,25207,1955
1700006240,0.458,0.478,25208,25211,1950
1700006300,0.46,0.48,25210,25205,2050
1700006360,0.462,0.482,25212,25209,2045
1700006420,0.464,0.484,25214,25213,2040
1700006480,0.466,0.486,25216,25217,2035
1700006540,0.468,0.488,25218,25221,2030
1700006600,0.45,0.47,25220,25215,2025
1700006660,0.452,0.472,25222,25219,2020
1700006720,0.454,0.474,25224,25223,2120
1700006780,0.456,0.476,25226,25227,2115
1700006840,0.458,0.478,25228,25231,2110
1700006900,0.46,0.48,25230,25225,2105
1700006960,0.462,0.482,25232,25229,2100
1700007020,0.464,0.484,25234,25233,2095
1700007080,0.466,0.486,25236,25237,2090
1700007140,0.468,0.488,25238,25241,2190
1700007200,0.45,0.47,25240,25235,2185
1700007260,0.452,0.472,25242,25239,2180
1700007320,0.454,0.474,25244,25243,2175
1700007380,0.456,0.476,25246,25247,2170
1700007440,0.458,0.478,25248,25251,2165
1700007500,0.46,0.48,25250,25245,2160
1700007560,0.462,0.482,25252,25249,2260
1700007620,0.464,0.484,25254,25253,2255
1700007680,0.466,0.486,25256,25257,2250
1700007740,0.468,0.488,25258,25261,2245
1700007800,0.45,0.47,25260,25255,2240
1700007860,0.452,0.472,25262,25259,2235
1700007920,0.454,0.474,25264,25263,2230
1700007980,0.456,0.476,25266,25267,2330
1700008040,0.458,0.478,25268,25271,2325
1700008100,0.46,0.48,25270,25265,2320
1700008160,0.462,0.482,25272,25269,2315
1700008220,0.464,0.484,25274,25273,2310
1700008280,0.466,0.486,25276,25277,2305
1700008340,0.468,0.488,25278,25281,2300
1700008400,0.45,0.47,25280,25275,2400
1700008460,0.452,0.472,25282,25279,2395
1700008520,0.454,0.474,25284,25283,2390
1700008580,0.456,0.476,25286,25287,2385
1700008640,0.458,0.478,25288,25291,2380
1700008700,0.46,0.48,25290,25285,2375
1700008760,0.462,0.482,25292,25289,2370
1700008820,0.464,0.484,25294,25293,2470
1700008880,0.466,0.486,25296,25297,2465
1700008940,0.468,0.488,25298,25301,2460
1700009000,0.45,0.47,25300,25295,2455
1700009060,0.452,0.472,25302,25299,2450
1700009120,0.454,0.474,25304,25303,2445
1700009180,0.456,0.476,25306,25307,2440
1700009240,0.458,0.478,25308,25311,2540
1700009300,0.46,0.48,25310,25305,2535
1700009360,0.462,0.482,25312,25309,2530
1700009420,0.464,0.484,25314,25313,2525
1700009480,0.466,0.486,25316,25317,2520
1700009540,0.468,0.488,25318,25321,2515
1700009600,0.45,0.47,25320,25315,2510
1700009660,0.452,0.472,25322,25319,2610
1700009720,0.454,0.474,25324,25323,2605
1700009780,0.456,0.476,25326,25327,2600
1700009840,0.458,0.478,25328,25331,2595
1700009900,0.46,0.48,25330,25325,2590
1700009960,0.462,0.482,25332,25329,2585
1700010020,0.464,0.484,25334,25333,2580
1700010080,0.466,0.486,25336,25337,2680
1700010140,0.468,0.488,25338,25341,2675
1700010200,0.45,0.47,25340,25335,2670
1700010260,0.452,0.472,25342,25339,2665
1700010320,0.454,0.474,25344,25343,2660
1700010380,0.456,0.476,25346,25347,2655
1700010440,0.458,0.478,25348,25351,2650
1700010500,0.46,0.48,25350,25345,2750
1700010560,0.462,0.482,25352,25349,2745
1700010620,0.464,0.484,25354,25353,2740
1700010680,0.466,0.486,25356,25357,2735
1700010740,0.468,0.488,25358,25361,2730
1700010800,0.45,0.47,25360,25355,2725
1700010860,0.452,0.472,25362,25359,2720
1700010920,0.454,0.474,25364,25363,2820
1700010980,0.456,0.476,25366,25367,2815
1700011040,0.458,0.478,25368,25371,2810
1700011100,0.46,0.48,25370,25365,2805
1700011160,0.462,0.482,25372,25369,2800
1700011220,0.464,0.484,25374,25373,2795
1700011280,0.466,0.486,25376,25377,2790
1700011340,0.468,0.488,25378,25381,2890
1700011400,0.45,0.47,25380,25375,2885
1700011460,0.452,0.472,25382,25379,2880
1700011520,0.454,0.474,25384,25383,2875
1700011580,0.456,0.476,25386,25387,2870
1700011640,0.458,0.478,25388,25391,2865
1700011700,0.46,0.48,25390,25385,2860
1700011760,0.462,0.482,25392,25389,2960
1700011820,0.464,0.484,25394,25393,2955
1700011880,0.466,0.486,25396,25397,2950
1700011940,0.468,0.488,25398,25401,2945
